,marvel_comic_character_name,comic_appearance 1,comic_appearance 2,comic_appearance 3,comic_appearance 4,comic_appearance 5,comic_appearance 6,comic_appearance 7,comic_appearance 8,comic_appearance 9,comic_appearance 10,comic_appearance 11,comic_appearance 12,comic_appearance 13,comic_appearance 14,comic_appearance 15,comic_appearance 16,comic_appearance 17,comic_appearance 18,comic_appearance 19,comic_appearance 20,comic_appearance 21,comic_appearance 22,comic_appearance 23,comic_appearance 24,comic_appearance 25,comic_appearance 26,comic_appearance 27,comic_appearance 28,comic_appearance 29,comic_appearance 30,comic_appearance 31,comic_appearance 32,comic_appearance 33,comic_appearance 34,comic_appearance 35
1308,Sword Master (Sword Master),Agents of Atlas (2019) #1,Agents of Atlas (2019) #3,Agents of Atlas (2019) #4,Agents of Atlas (2019) #5,Atlantis Attacks (2020) #1,Atlantis Attacks (2020) #2,Death of Doctor Strange: White Fox (2021) #1,Iron Fist (2022) #1,Iron Fist (2022) #2,Iron Fist (2022) #3,Iron Fist (2022) #4,Iron Fist (2022) #5,King In Black: Black Knight (2021) #1,Sword Master (2019) #1,Sword Master (2019) #2,Sword Master (2019) #3,Sword Master (2019) #4,Sword Master (2019) #5,Sword Master (2019) #6,Sword Master (2019) #7,,,,,,,,,,,,,,,
1309,Swordsman,Avengers (1996) #1,Avengers (1998) #1,Avengers (1996) #2,Avengers (1998) #2,Avengers (1996) #3,Avengers (1998) #3,Avengers (1996) #4,Avengers (1998) #4,Avengers (1996) #7,Avengers (1998) #10,Avengers (1998) #11,Avengers (1963) #19,Avengers (1963) #20,Avengers (1963) #30,Avengers (1998) #48,Avengers (1963) #61,Avengers (1963) #65,Avengers (1963) #72,Avengers (1963) #79,Avengers (1963) #100,,,,,,,,,,,,,,,
1310,Swordsman (Jacques Duquesne),Avengers (1963) #115,Chaos War: Dead Avengers (2010) #1,Chaos War: Dead Avengers (2010) #2,Chaos War: Dead Avengers (2010) #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,Sym,Uncanny X-Men (1963) #231,Uncanny X-Men (1963) #234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,Synch,Cable (1993) #77,The Amazing Spider-Man (1963) #437,Uncanny X-Men (1963) #317,Uncanny X-Men (1963) #318,Uncanny X-Men (1963) #377,Uncanny X-Men (1963) #379,Wolverine (1988) #94,Wolverine (1988) #141,X-Men (2021) #12,X-Men (2019) #18,X-Men (2021) #18,X-Men (2019) #19,X-Men (1991) #36,X-Men (1991) #37,X-Men Unlimited (1993) #20,X-Men Vs. Apocalypse Vol. 1: The Twelve (Trade Paperback),X-Men Vs. Apocalypse Vol. 2: Ages of Apocalypse (Trade Paperback),X-Men: Prime (1995) #1,X-Men: The Complete Age of Apocalypse Epic Book 4 (Trade Paperback),,,,,,,,,,,,,,,,
1313,T'Challa,Doomwar (Hardcover),Rise Of The Black Panther (Trade Paperback),Secret Warps: Ghost Panther Annual (2019) #1,Storm (Trade Paperback),Storm (2006) #3,Storm (2006) #4,Storm (2006) #5,Storm (2006) #6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,Tag,New Mutants (2003) #10,New Mutants Classic Vol. 2 (Trade Paperback),New X-Men (2004) #2,New X-Men (2004) #3,New X-Men (2004) #4,New X-Men (2004) #6,New X-Men: Hellions (2005),New X-Men: Hellions (2005) #1,New X-Men: Hellions (2005) #3,New X-Men: Hellions (2005) #4,,,,,,,,,,,,,,,,,,,,,,,,,
1315,Talisman (Elizabeth Twoyoungmen),Alpha Flight (1983) #19,Alpha Flight (1983) #61,Alpha Flight (1983) #87,Alpha Flight (1983) #88,Alpha Flight (1983) #89,Alpha Flight (1983) #90,Alpha Flight (1983) #110,Alpha Flight (1983) #111,Alpha Flight (1983) #127,Doctor Strange, Sorcerer Supreme (1988) #55,,,,,,,,,,,,,,,,,,,,,,,,
1316,Talkback (Chase Stein),Civil War: Young Avengers & Runaways (2006) #1,Civil War: Young Avengers & Runaways (2006) #2,Civil War: Young Avengers & Runaways (2006) #3,Civil War: Young Avengers & Runaways (2006) #4,Runaways (2017) #2,Runaways Vol. 10: Rock Zombies (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,Talon (Fraternity of Raptors),Infinity Countdown (2018) #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,Talos,Annihilation: Ronan (2006) #4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,Tana Nile,Annihilation: Ronan (2006) #4,Thor (1966) #211,Thor (1966) #212,Thor (1966) #217,Thor (1966) #218,Thor (1966) #220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,Tarantula (Luis Alvarez),Amazing Spider-Man Annual (1964) #15,Heroes for Hire (2006) #4,Heroes for Hire (2006) #6,Heroes for Hire (2006) #8,Heroes for Hire (2006) #14,The Punisher (1987) #70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,Tarantula (Maria Vasquez),Six Guns (2011) #1,Six Guns (2011) #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322,Tarot,Uncanny X-Men (1963) #281,X-Force (1991) #87,X-Force (1991) #88,X-Force (1991) #89,X-Force (1991) #90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,Taskmaster,Age of Heroes (2010) #1,Age of Heroes (2010) #2,Age of Heroes (2010) #3,Age of Heroes (2010) #4,AGE OF HEROES TPB (Trade Paperback),Agent X (2002) #4,Agent X (2002) #5,Agent X (2002) #6,Agent X (2002) #7,Agent X (2002) #10,Agent X (2002) #11,Agent X (2002) #13,Agent X (2002) #14,Agent X (2002) #15,Alpha Flight (2011) #5,Ant-Man and the Wasp Adventures (Digest),Avengers (2016) #10,Avengers (1963) #195,Avengers (1963) #196,Avengers (1963) #223,,,,,,,,,,,,,,,
1324,Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,Taurus (Cornelius van Lunt),Avengers (1963) #81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,Technarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327,Ted Forrester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,Tempest,Avengers (1998) #24,Avengers (1998) #25,Avengers Assemble Vol. 3 (Hardcover),Fantastic Four/Inhumans (Trade Paperback),Inhumans (2000) #4,Iron Man (1998) #22,MARVEL MASTERWORKS: THE UNCANNY X-MEN VOL. 2 HC (Hardcover),New Warriors (2007) #3,New Warriors (2007) #4,New Warriors (2007) #15,New Warriors (2007) #16,New Warriors (2007) #17,New Warriors (2007) #18,New Warriors (2007) #19,New Warriors (2007) #20,Peter Parker: Spider-Man (1999) #11,SPIDER-MAN 2099 VOL. 6: APOCALYPSE SOON TPB (Trade Paperback),Uncanny X-Men (1963) #275,Uncanny X-Men Omnibus Vol. 1 (Hardcover),Uncanny X-Men (1963) #107,,,,,,,,,,,,,,,
1329,Tenebrous,Annihilation: Silver Surfer (2006) #3,Annihilation: Silver Surfer (2006) #4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,Terrax,Annihilation: Heralds of Galactus (2007) #1,Avengers (1996) #12,Avengers Annual (1967) #16,Cosmic Powers (1994) #2,Cosmic Powers (1994) #3,Cosmic Powers (1994) #6,Dazzler (1981) #10,Dazzler (1981) #11,Exiles (2001) #8,Exiles (2001) #9,Exiles Vol. II: A World Apart (Trade Paperback),Fantastic Five (2007) #2,Fantastic Four (1996) #11,Fantastic Four (1961) #242,Fantastic Four (1961) #243,Fantastic Four (1961) #400,FANTASTIC FOUR VISIONARIES: JOHN BYRNE VOL. 2 TPB (Trade Paperback),Heroes Reborn: Avengers (Trade Paperback),Heroes Reborn: Iron Man (Trade Paperback),Iron Man (1996) #10,,,,,,,,,,,,,,,
1331,Terror,Cage (1992) #15,Cage (1992) #16,Deadpool (2015) #14,Deadpool & the Mercs for Money (2016) #1,Deadpool & the Mercs for Money (2016) #2,Deadpool & the Mercs for Money (2016) #3,Deadpool & the Mercs for Money (2016) #5,Deadpool & the Mercs for Money (2016) #8,Marvel Team-Up (2004) #15,Marvel Team-Up (2004) #16,Marvel Team-Up (2004) #18,Sensational She-Hulk (1989) #15,Sensational She-Hulk (1989) #17,,,,,,,,,,,,,,,,,,,,,,
1332,Texas Twister,Fantastic Four (1961) #177,FANTASTIC FOUR VISIONARIES: GEORGE PEREZ VOL. 1 TPB (Trade Paperback),Marvel Super Heroes (1990) #15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,Thaddeus Ross,Hulk (2008) #35,Hulk (2008) #36,Hulk (2008) #38,Hulk (2008) #41,Hulk (2008) #42,Hulk (2008) #43,Hulk (2008) #44,Hulk (2008) #45,Hulk (2008) #50,Hulk (2008) #51,Hulk (2008) #52,Hulk (2008) #53,,,,,,,,,,,,,,,,,,,,,,,
1334,Thanos,Alpha Flight (1983) #111,Annihilation (2006) #2,Annihilation (2006) #4,Annihilation: Prologue (2006),Annihilation: Silver Surfer (2006) #1,Annihilation: Silver Surfer (2006) #2,Annihilation: Silver Surfer (2006) #3,Annihilation: Silver Surfer (2006) #4,Annihilation: The Nova Corps (2006) #1,Avengers (2010) #12,Avengers (1963) #125,Avengers (1963) #260,Avengers & the Infinity Gauntlet (2010) #1,Avengers & the Infinity Gauntlet (2010) #2,Avengers & the Infinity Gauntlet (2010) #3,Avengers & the Infinity Gauntlet (2010) #4,AVENGERS & THE INFINITY GAUNTLET GN-TPB (Trade Paperback),Avengers & The Infinity Gauntlet (Trade Paperback),Avengers Annual (1967) #7,Avengers Assemble (2012) #3,,,,,,,,,,,,,,,
1335,Thanos (Ultimate),Ultimate Fantastic Four (2003) #38,Ultimate Fantastic Four (2003) #51,Ultimate Fantastic Four (2003) #52,Ultimate Fantastic Four (2003) #53,ULTIMATE FANTASTIC FOUR VOL. 7: GOD WAR TPB (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,The 198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,The Anarchist,X-Statix (2002) #1,X-Statix Vol. I (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,The Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,The Captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,The Collector (Taneleer Tivan),ALL-NEW GUARDIANS OF THE GALAXY VOL. 1: COMMUNICATION BREAKDOWN TPB (Trade Paperback),Astonishing Thor (2010) #2,Avengers (1963) #51,Avengers (1963) #119,Avengers (1963) #174,Avengers (1963) #338,Avengers Annual (1967) #16,Avengers Epic Collection: The Collection Obsession (Trade Paperback),Avengers Legends Vol. 2: The Korvac Saga (Trade Paperback),Fantastic Four (1961) #389,Guidebook to The Marvel Cinematic Universe - Marvel�s Guardians of the Galaxy (2016),Incredible Hulk (1962) #197,Incredible Hulk (1962) #198,Iron Man (1968) #26,MARVEL MASTERWORKS: THE AVENGERS VOL. 17 HC (Hardcover),MARVEL MASTERWORKS: THE AVENGERS VOL. 6 HC (Hardcover),Silver Surfer (1987) #3,Silver Surfer Epic Collection: Thanos Quest (Trade Paperback),SILVER SURFER EPIC COLLECTION: THE INFINITY GAUNTLET TPB (Trade Paperback),Wolverine (1988) #136,,,,,,,,,,,,,,,
1341,The Enforcers,The Amazing Spider-Man (1963) #19,Amazing Spider-Man (1999) #563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,The Executioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,The Fallen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,The Fury,X-Men: Die by the Sword (2007) #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,The Hand,Amazing Spider-Man (1999) #674,Daredevil (2015) #28,Daredevil (1964) #174,Daredevil (1964) #175,Daredevil (1964) #176,Daredevil (1964) #380,DAREDEVIL BY ED BRUBAKER & MICHAEL LARK OMNIBUS VOL. 2 HC [NEW PRINTING] (Hardcover),Daredevil: Ninja (2000) #3,Daredevil: Shadowland Omnibus (John Cassaday Cover) (Hardcover),Deadpool (2008) #50,Elektra: Glimpse and Echo (2002) #2,Elektra: Glimpse and Echo (2002) #3,Elektra: Glimpse and Echo (2002) #4,Elektra: The Hand (2004) #1,Elektra: The Hand (2004) #2,Elektra: The Hand (2004) #3,Elektra: The Hand (2004) #4,Elektra: The Hand (2004) #5,Iron Fist/Wolverine (2000) #2,Iron Fist/Wolverine (2000) #3,,,,,,,,,,,,,,,
1346,The Hood,Avengers: The Initiative (2007) #29,Avengers: The Initiative (2007) #30,Beyond! (Hardcover),Beyond! (2006) #6,Black Panther (2009) #1,Captain America (1968) #131,Daredevil Saga (2008) #1,Dark Reign: The Hood (2009) #1,Dark Reign: The Hood (2009) #2,Dark Reign: The Hood (2009) #3,Dark Reign: The Hood (2009) #4,Dark Reign: The Hood (2009) #5,Defenders (2017) #10,Hawkeye: Freefall (2020) #4,Hawkeye: Freefall (2020) #6,Illuminati (2015) #1,Illuminati (2015) #2,Illuminati (2015) #3,Illuminati (2015) #4,Illuminati (2015) #5,,,,,,,,,,,,,,,
1347,The Howling Commandos,Howling Commandos of S.H.I.E.L.D. (2015) #1 (Santiago Hip-&#8203;Hop Variant),Howling Commandos of S.H.I.E.L.D. (2015) #1 (Schoonover Design Variant),Howling Commandos of S.H.I.E.L.D. (2015) #1 (Shalvey Variant),WOLVERINE: OLD MAN LOGAN VOL. 4 - OLD MONSTERS TPB (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,The Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,The Initiative,Avengers: The Initiative (2007) #3,Avengers: The Initiative (2007) #4,Avengers: The Initiative (2007) #5,Avengers: The Initiative (2007) #6,Avengers: The Initiative (2007) #7,Avengers: The Initiative (2007) #8,Avengers: The Initiative (2007) #10,Avengers: The Initiative (2007) #11,Avengers: The Initiative (2007) #12,Avengers: The Initiative (2007) #13,Avengers: The Initiative (2007) #26,Avengers: The Initiative (2007) #27,Avengers: The Initiative (2007) #30,New Warriors (2007) #4,New Warriors (2007) #5,New Warriors (2007) #6,New Warriors (2007) #13,New Warriors (2007) #17,,,,,,,,,,,,,,,,,
1350,The Leader (HAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,The Liberteens,Avengers: The Initiative Annual (2007) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,The Liberty Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,The Order,The Order (2002) #1,The Order (2007) #1,The Order (2007) #1 (50/50 Variant),The Order (2007) #2,The Order (2002) #2,The Order (2007) #3,The Order (2002) #3,The Order (2007) #4,The Order (2002) #4,The Order (2007) #5,The Order (2002) #5,The Order (2007) #6,The Order (2002) #6,The Order (2007) #7,The Order (2007) #8,The Order (2007) #9,The Order (2007) #10,The Order Vol. 1: The Next Right Thing (Trade Paperback),,,,,,,,,,,,,,,,,
1354,The Phantom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,The Professor,Wolverine (1988) #48,Wolverine (1988) #50,Wolverine (1988) #63,Wolverine (1988) #129,Wolverine (1988) #176,WOLVERINE LEGENDS VOL. 6: MARC SILVESTRI BOOK 1 TPB (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,The Renegades,Weapon X (1995) #1,X-Men: The Complete Age of Apocalypse Epic Book 2 (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,The Santerians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,The Shiver Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,The Spike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,The Stranger,Marvel Masterworks: Ant-Man/Giant-Man Vol. 1 (Hardcover),MARVEL MASTERWORKS: ANT-MAN/GIANT-MAN VOL. 1 HC (Hardcover),MARVEL MASTERWORKS: THE INCREDIBLE HULK VOL. 3 HC (Hardcover),Marvel Masterworks: The X-Men Vol. 2 (Trade Paperback),Spider-Man: Am I an Avenger? (Trade Paperback),Tales to Astonish (1959) #89,Tales to Astonish (1959) #91,Thor (1966) #178,Uncanny X-Men (1963) #11,Uncanny X-Men (1963) #18,X-Men: Alpha (1995) #1,,,,,,,,,,,,,,,,,,,,,,,,
1361,The Twelve,The Twelve (2007),The Twelve (2007) #1,The Twelve (2007) #2,The Twelve (2007) #3,The Twelve (2007) #4,The Twelve (2007) #5,The Twelve (2007) #6,The Twelve (2007) #7,The Twelve (2007) #8,The Twelve (2007) #9,The Twelve (2007) #10,The Twelve (2007) #11,The Twelve (2007) #12,,,,,,,,,,,,,,,,,,,,,,
1362,The Watchers,1602 (2003) #1,1602 (2003) #2,1602 (2003) #6,Dark Ages (Trade Paperback),Fantastic Four (2018) #43,Infinity Gauntlet (1991) #4,Infinity Gauntlet (1991) #5,New Warriors (1990) #6,Original Sin (2014) #8,Original Sins (2014) #1,Original Sins (2014) #2,Original Sins (2014) #3,Original Sins (2014) #4,Reckoning War: Trial Of The Watcher (2022) #1,Thing: Freakshow (2002) #4,Thor: Black Galaxy Saga TPB (Trade Paperback),X-Men (1991) #40,,,,,,,,,,,,,,,,,,
1363,Thena,Avengers (1963) #248,Avengers (1963) #308,Avengers Next (2006) #2,Avengers Next (2006) #5,Eternals (1976) #5,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #1,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #2,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #3,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #4,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #5,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #6,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #7,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #8,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #9,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #10,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #11,Eternals by Jack Kirby (Hardcover),Hulk (2008) #49,Incredible Hercules (2008) #116,,,,,,,,,,,,,,,,
1364,Thing,4 (2004) #1,4 (2004) #2,4 (2004) #3,4 (2004) #4,4 (2004) #5,4 (2004) #6,4 (2004) #7,4 (2004) #8,4 (2004) #10,4 (2004) #12,4 (2004) #19,4 (2004) #20,4 (2004) #22,4 Vol. 1: Wolf at the Door (Trade Paperback),4 Vol. 2: The Stuff of Nightmares (Trade Paperback),A+X (2012) #6,Alpha Flight (1983) #1,Amazing Spider-Man (1999) #653,Amazing Spider-Man (1999) #654,Amazing Spider-Man (1999) #657,,,,,,,,,,,,,,,
1365,Thing (Marvel Heroes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,Thing (Ultimate),Ultimate Comics Doom (2010) #3,Ultimate Comics Enemy (2010) #1,Ultimate Comics Enemy (2010) #1 (VILLAIN VARIANT),Ultimate Comics Enemy (2010) #1 (FOILOGRAM VARIANT),Ultimate Comics Enemy (2010) #2,Ultimate Comics Enemy (2010) #3,Ultimate Comics Enemy (2010) #4,Ultimate Extinction (2006) #2,Ultimate Fantastic Four (2003) #14,Ultimate Fantastic Four (2003) #19,Ultimate Fantastic Four (2003) #20,Ultimate Fantastic Four (2003) #21,Ultimate Fantastic Four (2003) #21 (variant cover),Ultimate Fantastic Four (2003) #22,Ultimate Fantastic Four (2003) #23,Ultimate Fantastic Four (2003) #27,Ultimate Fantastic Four (2003) #28,Ultimate Fantastic Four (2003) #30,Ultimate Fantastic Four (2003) #31,Ultimate Fantastic Four (2003) #32,,,,,,,,,,,,,,,
1367,Thor,A+X (2012) #7,Age of Heroes (2010) #1,Age of Heroes (2010) #2,Age of Heroes (2010) #3,Age of Heroes (2010) #4,Alligator Loki Infinity Comic (2022) #1,Alligator Loki Infinity Comic (2022) #2,Alligator Loki Infinity Comic (2022) #4,Alpha: Big Time (2013) #4,Alpha Flight (1983) #1,Alpha Flight (1983) #61,Alpha Flight (1983) #127,The Amazing Spider-Man (1963) #339,Amazing Spider-Man Annual (1964) #3,Amazing Spider-Man Annual (1964) #16,AMAZING SPIDER-MAN VOL. 6: HAPPY BIRTHDAY TPB (Trade Paperback),Art of Marvel Studios TPB Slipcase (Hardcover),Astonishing Thor (2010) #1,Astonishing Thor (2010) #1 (FOILOGRAM VARIANT),Astonishing Thor (2010) #2,,,,,,,,,,,,,,,
1368,Thor (Goddess of Thunder),All-New, All-Different Avengers (2015) #10,All-New, All-Different Avengers (2015) #11,All-New, All-Different Avengers (2015) #12,All-New, All-Different Avengers (2015) #15,ALL-NEW, ALL-DIFFERENT AVENGERS HC (Hardcover),Avengers (2016) #1,Avengers (2016) #8,Avengers (2016) #9,Avengers (2016) #11,Avengers (2018) #56,Avengers: Standoff (Trade Paperback),AVENGERS: UNLEASHED VOL. 2 - SECRET EMPIRE TPB (Trade Paperback),Champions (2016) #15,CIVIL WAR II TPB (Trade Paperback),Doctor Strange (2015) #18,DOCTOR STRANGE VOL. 4: MR. MISERY PREMIERE HC (Hardcover),Generations (Hardcover),Generations: The Unworthy Thor & The Mighty Thor (2017) #1,Gwenpool, The Unbelievable Vol. 5: Lost In The Plot (Trade Paperback),Jane Foster & the Mighty Thor (2022) #1,,,,,,,,,
1369,Thor (MAA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,Thor (Marvel Heroes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,Thor (Marvel War of Heroes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,Thor (Marvel: Avengers Alliance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,Thor (Ultimate),Mighty Thor (2015) #22,The Ultimates Vol. 2: Homeland Security (Trade Paperback),Ultimate Adventures (2002) #1,Ultimate Adventures (2002) #2,Ultimate Adventures (2002) #3,Ultimate Adventures (2002) #4,Ultimate Adventures (2002) #5,Ultimate Adventures (2002) #6,Ultimate Adventures Vol. 1: One Tin Soldier (Trade Paperback),Ultimate Adventures Vol. I (Trade Paperback),Ultimate Avengers Vs. New Ultimates (2011) #2,Ultimate Avengers Vs. New Ultimates (2011) #2 (HITCH VARIANT),Ultimate Comics New Ultimates (2010) #1,Ultimate Comics Spider-Man (2009) #150,Ultimate Comics Spider-Man (2009) #150 (WRAPAROUND VARIANT),Ultimate Comics Spider-Man (2009) #151,Ultimate Comics Spider-Man (2009) #157,Ultimate Comics Thor (2010) #1,Ultimate Comics Thor (2010) #2,Ultimate Comics Thor (2010) #3,,,,,,,,,,,,,,,
1374,Thor Girl,Avengers: The Initiative (2007) #5,Avengers: The Initiative (2007) #8,Avengers: The Initiative (2007) #9,Avengers: The Initiative (2007) #18,Avengers: The Initiative (2007) #21,Avengers: The Initiative (2007) #22,Avengers: The Initiative (2007) #23,Fear Itself: Youth in Revolt (2011) #1,Fear Itself: Youth in Revolt (2011) #2,Fear Itself: Youth in Revolt (2011) #4,Fear Itself: Youth in Revolt (2011) #5,Fear Itself: Youth in Revolt (2011) #6,Thor (1998) #22,Thor (1998) #24,Thor (1998) #25,Thor (1998) #33,,,,,,,,,,,,,,,,,,,
1375,Thunderball,Avengers (1998) #15,Avengers (1998) #16,Avengers (1998) #17,Avengers (1998) #18,Avengers Assemble Vol. 2 (Hardcover),Captain America (2004) #606 (HEROIC AGE VARIANT),Fantastic Four (1961) #335,FANTASTIC FOUR VISIONARIES: WALTER SIMONSON VOL. 1 TPB (Trade Paperback),Illuminati (2015) #7,Secret Wars: Official Guide to the Marvel Multiverse (2015) #1,Spider-Man: Revenge of the Goblin (Trade Paperback),Spider-Man: Revenge of the Green Goblin (2000) #3,The Amazing Spider-Man (1963) #357,The Amazing Spider-Man (1963) #358,,,,,,,,,,,,,,,,,,,,,
1376,Thunderbird (John Proudstar),Avengers Assemble Vol. 4 (Hardcover),Chaos War: X-Men (2010) #1,Chaos War: X-Men (2010) #2,Classic X-Men (1986) #3,Deadpool (1997) #61,Earth X (1999) #6,Earth X (1999) #7,EARTH X TPB [NEW PRINTING] (Trade Paperback),Exiles (2001) #7,Exiles (2001) #8,Exiles (2001) #9,Exiles (2001) #10,Exiles (2001) #11,Exiles (2001) #16,Exiles Vol. 3: Out of Time (Trade Paperback),Exiles Vol. II: A World Apart (Trade Paperback),MARVEL MASTERWORKS: THE UNCANNY X-MEN VOL. 2 HC (Hardcover),Maximum Security (2000) #3,New X-Men (Hardcover),New X-Men (2001) #132,,,,,,,,,,,,,,,
1377,Thunderbird (Neal Shaara),Uncanny X-Men (1963) #193,Uncanny X-Men (1963) #385,Uncanny X-Men (1963) #385 (Variant),Uncanny X-Men (1963) #388,Uncanny X-Men (1963) #389,Uncanny X-Men (1963) #475,Uncanny X-Men (1963) #476,Uncanny X-Men (1963) #484,Uncanny X-Men: Rise & Fall of the Shi'ar Empire (Hardcover),X-Men (1991) #107,X-MEN: DREAM'S END TPB (Trade Paperback),X-Treme X-Men (2001) #1,X-Treme X-Men (2001) #2,X-Treme X-Men (2001) #3,X-Treme X-Men (2001) #4,X-Treme X-Men (2001) #5,X-Treme X-Men (2001) #6,X-Treme X-Men (2001) #7,X-Treme X-Men (2001) #8,X-Treme X-Men (2001) #9,,,,,,,,,,,,,,,
1378,Thunderbolt (Bill Carver),Power Man and Iron Fist (1978) #61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,Thunderbolt Ross,Avengers (1963) #88,Hulk Annual (1999) #1,Hulk by Mark Waid & Gerry Duggan: The Complete Collection (Trade Paperback),Hulk (1999) #16,Hulk (1999) #20,Hulk (1999) #24,Hulk (1999) #28,Incredible Hulk (1962) #171,Incredible Hulk (1962) #194,Incredible Hulk (1962) #195,Incredible Hulk (1962) #196,Incredible Hulk (1962) #198,Incredible Hulk (1962) #199,Incredible Hulk (1962) #200,Incredible Hulk Annual (1976) #7,Incredible Hulk Epic Collection: The Hulk Must Die (Trade Paperback),Indestructible Hulk (2012) #15,MARVEL MASTERWORKS: THE INCREDIBLE HULK VOL. 11 HC (Hardcover),,,,,,,,,,,,,,,,,
1380,Thunderbolts,Avengers Academy (2010) #3,Avengers Academy (2010) #4,Avengers Assemble Vol. 3 (Hardcover),Avengers/Thunderbolts (2004) #1,Avengers/Thunderbolts (2004) #2,Avengers/Thunderbolts (2004) #3,Avengers/Thunderbolts (2004) #4,Avengers/Thunderbolts (2004) #5,Avengers/Thunderbolts (2004) #6,Captain America: Reborn (2009) #3,Civil War: Thunderbolts (Trade Paperback),Dark Avengers (2012) #175,Dark Avengers (2012) #176,Dark Avengers (2012) #177,Dark Avengers (2012) #178,Dark Avengers (2012) #179,Dark Avengers (2012) #180,Dark Avengers (2012) #181,Dark Avengers (2012) #182,Dark Avengers (2012) #183,,,,,,,,,,,,,,,
